term,valence,arousal,dominance
aesthetics,0.694,-0.346,0.098
aetiology,-0.04,-0.204,0.23
afar,-0.208,-0.254,-0.284
affability,1.0,-0.481,-0.095
affable,0.408,-0.24,-0.096
affableness,1.0,-0.667,0.222
affably,0.708,-0.417,0.296
affair,0.04,-0.082,0.314
affect,-0.084,0.138,0.156
affectation,-0.667,0.0,-0.63
affectedly,-0.619,0.381,-0.524
affectedness,-0.667,0.63,-0.542
affecting,-0.3,0.148,-0.212
affection,0.796,0.118,0.392
affectionate,0.898,-0.156,0.1
affectionately,1.0,-0.667,-0.583
affections,0.52,0.094,0.31
affective,0.667,0.667,0.333
affectively,0.095,0.519,-0.083
affectivity,0.619,0.667,-0.083
affectless,-0.667,-0.958,-0.5
affiche,-0.042,-0.47,-0.196
affidavit,-0.062,0.168,0.052
affiliate,0.556,0.25,0.238
affiliate marketing,-0.094,0.422,0.194
affiliated,0.346,0.038,0.07
affiliation,0.23,0.188,0.0
affinitive,0.5,0.0,0.143
affinity,0.6,0.0,0.074
affirm,0.49,0.018,0.462
affirmable,0.708,0.0,0.417
affirmation,0.5,0.0,0.378
affirmative,0.708,0.178,0.632
affirmative action,0.266,0.286,0.108
affirmatively,0.816,0.0,0.622
affirmer,0.667,0.625,0.481
affix,-0.124,-0.33,-0.178
affixation,0.037,0.533,0.37
affixer,0.0,0.667,0.571
afflict,-0.396,0.11,-0.414
afflicted,-0.458,0.0,-0.666
afflicter,-0.75,0.667,0.714
affliction,-0.412,0.27,-0.216
afflictive,-0.75,-0.667,-0.619
affluence,0.326,0.236,0.444
affluent,0.512,-0.224,-0.046
affluently,0.714,-0.333,0.708
afford,0.142,0.16,0.15
afford to,0.138,-0.076,0.072
affordability,0.714,0.0,0.0
affordable,0.68,-0.204,-0.014
affordable housing,0.242,-0.124,0.1
affront,-0.346,0.48,0.094
affronted,-0.23,0.5,0.054
afghan,0.0,-0.037,0.417
afghanistan,0.0,0.0,-0.125
aficionado,0.611,0.611,0.476
afield,0.188,-0.26,-0.254
afire,-0.266,0.808,0.35
aflame,0.208,1.0,0.63
afloat,0.204,-0.146,-0.112
aflutter,0.333,1.0,-0.5
afoot,0.095,0.625,0.0
afore,0.0,-0.326,-0.236
aforehand,0.0,0.0,0.458
aforementioned,-0.02,-0.368,-0.184
aforesaid,0.062,-0.284,-0.044
aforethought,0.0,0.593,0.625
afoul,-0.6,0.619,-0.333
afraid,-0.977,0.352,-0.529
afresh,0.286,0.042,-0.04
african american,0.2,0.048,0.066
afro,0.444,0.074,0.037
aft,-0.04,-0.166,0.036
after,0.234,0.0,-0.266
after all,0.086,-0.2,-0.186
after hours,-0.286,-0.034,0.028
after party,0.3,-0.094,-0.066
afterbirth,-0.37,-0.476,-0.556
afterburner,0.0,1.0,0.958
afterburning,-0.2,0.708,0.583
aftercare,0.667,-0.625,-0.25
aftereffect,-0.333,-0.556,-0.222
aftergame,0.19,0.667,0.222
afterglow,1.0,-0.481,0.333
afterhours,0.111,0.625,0.0
afterlife,0.142,0.134,0.136
afterload,0.0,0.19,0.524
aftermarket,0.0,0.542,0.593
aftermath,-0.376,-0.102,-0.112
aftermost,0.0,0.0,0.037
afternoon,0.066,-0.224,-0.322
afternoon tea,0.322,-0.384,-0.142
afterparty,0.75,1.0,0.0
aftersale,0.625,-0.667,0.333
afterschool,0.25,0.476,-0.048
aftershave,-0.188,-0.232,-0.17
aftershock,-0.5,0.714,0.037
aftertaste,-0.292,-0.276,-0.09
afterthought,-0.208,-0.216,-0.302
aftertime,0.0,-0.63,-0.037
afterward,0.0,-0.619,0.0
afterword,0.095,-0.63,0.148
afterworld,-0.286,-0.19,0.0
aga,0.084,-0.346,-0.204
again,-0.096,-0.044,0.032
against,-0.552,0.096,-0.194
agamemnon,-0.524,0.667,1.0
agape,0.224,0.058,-0.072
agate,0.08,-0.246,-0.034
agave,0.5,-0.476,0.111
age,0.122,-0.548,-0.004
age bracket,-0.178,-0.028,-0.218
age gap,-0.234,-0.016,-0.178
age group,-0.074,-0.112,-0.242
age limit,-0.04,-0.226,-0.194
age range,-0.104,-0.028,0.1
aged,-0.73,-0.27,-0.528
agedly,-0.333,-0.708,-0.476
agedness,-0.286,-0.815,-0.37
ageism,-0.667,-0.5,-0.667
ageist,-1.0,0.667,0.611
ageless,0.667,-0.519,0.292
agelessness,0.792,-0.815,0.167
agencies,0.083,0.667,0.704
agency,-0.08,-0.408,0.166
agenda,0.062,-0.408,0.106
agent,-0.04,-0.122,0.51
agent orange,-0.518,0.112,-0.04
agglomeration,-0.1,0.53,0.018
aggravate,-0.552,0.54,-0.072
aggravated,-0.842,0.52,-0.14
aggravates,-0.784,0.464,-0.286
aggravating,-0.486,0.467,0.28
aggravation,-0.858,0.568,0.226
aggravator,-0.667,0.958,0.952
aggregate,0.46,-0.244,0.112
aggregately,0.0,0.0,0.444
aggregation,0.166,0.034,0.388
aggregative,0.0,-0.556,0.458
aggregator,0.0,0.63,0.762
aggresive,-0.882,0.893,0.139
aggression,-0.812,0.858,0.066
aggressive,-0.75,0.898,0.296
aggressively,-0.5,0.852,0.376
aggressiveness,-0.846,0.826,0.296
aggressor,-0.708,0.896,0.646
aggrieve,-0.667,0.667,-0.5
aggrieved,-0.667,0.042,-0.625
aggrievedly,-0.667,0.611,-0.611
agh,-0.48,0.0,-0.2
aghast,-0.734,0.73,-0.072
aghhh,-0.438,0.27,-0.475
agile,0.6,0.314,0.55
agilely,1.0,1.0,0.741
agility,0.44,0.404,0.63
aging,-0.572,-0.49,-0.432
agitate,-0.4,0.592,0.186
agitated,-0.112,0.764,-0.018
agitatedly,-0.667,1.0,-0.458
agitation,-0.52,0.862,-0.106
agitator,-0.571,1.0,0.708
aglow,0.56,0.02,0.594
agnostic,-0.388,-0.208,0.148
agnostically,0.0,-0.583,0.0
agnosticism,-0.067,-0.407,0.037
ago,-0.366,-0.44,-0.192
agog,0.708,1.0,0.407
agonist,0.542,0.667,0.708
agonistic,-0.667,0.667,0.792
agonistically,-0.611,0.667,0.815
agonize,-0.667,1.0,-0.619
agonizing,-0.834,0.6,-0.32
agony,-0.834,0.55,-0.214
agoraphobia,-0.746,0.424,-0.124
agoraphobic,-1.0,-0.81,-0.875
agrarian,0.333,-0.333,0.444
agree,0.812,-0.48,0.09
agree on,0.484,-0.064,0.488
agree to,0.406,-0.182,0.178
agree with,0.444,-0.03,0.148
agreeability,1.0,-0.476,-0.417
agreeable,0.812,0.0,0.392
agreeableness,1.0,-0.407,-0.333
agreeably,0.714,-0.571,0.375
agreed,0.594,-0.102,0.148
agreed upon,0.466,-0.244,0.154
agreeing,0.708,-0.04,0.114
agreement,0.52,-0.12,0.472
agressive,-0.834,0.836,0.502
agribusiness,0.037,0.5,0.704
agricultural,0.372,-0.358,-0.054
agriculturalist,0.286,0.556,0.458
agriculturally,0.292,0.333,0.167
agriculture,0.355,-0.286,-0.07
agriculturist,0.625,0.524,0.519
agrobiologist,0.556,0.667,0.444
agrochemical,-0.619,0.0,0.444
agronomic,0.429,-0.381,0.458
agronomist,0.571,0.519,0.524
aground,-0.334,-0.32,-0.11
agua,0.196,-0.64,-0.128
aha,0.096,0.03,-0.166
ahead,0.416,0.04,0.346
ahead of,-0.036,0.068,0.052
ahem,-0.292,0.333,0.042
ahh,0.0,-0.206,-0.376
ahhh,0.124,0.034,-0.518
ahhhh,-0.242,-0.196,-0.2
ahhhhhhhh,0.104,0.298,-0.424
ahold,0.048,-0.048,0.533
ahoy,0.0,-0.006,-0.24
aid,0.774,-0.018,0.082
aide,0.448,-0.316,-0.132
aiding,0.286,0.066,0.138
aidless,-0.667,-0.667,-0.917
aids,0.122,-0.04,0.0
ail,-0.25,-0.132,-0.23
ailing,-0.812,0.036,-0.694
ailment,-0.708,0.468,-0.446
aim,-0.038,0.138,0.134
aim at,0.26,0.214,0.25
aim for,0.276,0.016,0.142
aim to,-0.036,-0.124,0.24
aimed at,0.034,0.192,0.268
aimless,-0.7,-0.466,-0.634
aimlessly,-0.667,-0.714,-1.0
aimlessness,-0.667,-0.958,-0.905
air,0.416,-0.674,-0.146
air ball,-0.094,-0.208,-0.296
air conditioned,0.484,0.076,0.172
air conditioner,0.096,-0.034,0.116
air conditioning,0.276,-0.082,0.364
air drop,-0.234,0.084,-0.068
air duct,-0.31,-0.232,0.0
air filter,0.066,-0.188,-0.138
air flow,0.49,-0.13,0.0
air force,-0.13,0.338,0.38
air freshener,0.594,-0.298,0.322
air guitar,0.134,0.034,0.164
air horn,-0.242,0.016,0.222
air mattress,-0.104,-0.242,0.142
air miles,0.072,-0.18,0.034
air out,-0.104,0.0,-0.334
air pollution,-0.656,0.072,-0.032
air pressure,-0.16,0.062,0.09
air quality,-0.032,-0.082,0.036
air raid,-0.432,0.124,0.0
air show,0.286,0.196,0.0
air time,0.334,0.098,-0.034
air traffic,-0.434,0.388,0.0
air travel,-0.058,0.022,0.258
airbag,0.02,-0.196,-0.134
airbase,0.0,0.0,0.708
airbed,0.25,-0.458,-0.037
airboat,0.083,0.704,0.0
airborne,0.084,0.038,-0.23
airbrush,0.667,0.63,0.042
aircraft,0.292,0.288,0.382
aircraft carrier,-0.026,0.431,0.294
aircraftman,0.0,0.667,-0.292
aircraftsman,0.0,0.619,0.458
aircrew,0.048,0.667,0.625
airdrop,0.037,0.889,0.571
airfare,-0.238,0.0,0.0
airfield,0.202,0.3,0.29
airflow,0.571,0.667,0.148
airforce,0.667,0.667,1.0
airframe,0.083,0.0,0.5
airfreight,0.0,0.667,0.5
airhead,-0.458,-0.038,-0.448
airily,0.375,0.333,-0.222
airiness,0.542,-0.852,-0.278
airless,-0.667,-0.833,-0.444
airlift,0.146,0.244,0.284
airline,0.3,-0.036,0.376
airline industry,0.138,0.348,0.366
airliner,0.334,0.554,0.294
airlock,-0.204,0.04,-0.106
airmail,0.667,0.667,0.095
airman,0.174,0.432,0.442
airmanship,1.0,0.667,0.667
airplane,0.438,0.404,0.416
airplay,0.583,0.667,0.524
airport,0.458,0.368,0.364
airport terminal,0.134,0.116,0.3
airpower,0.667,0.889,1.0
airproof,0.667,-0.667,0.292
airs,0.166,-0.608,-0.26
airshaft,-0.238,-0.267,0.0
airship,0.084,-0.056,0.058
airshow,0.667,1.0,0.571
airsick,-0.667,0.611,-0.667
airsickness,-0.963,0.667,-0.889
airspace,0.124,0.02,0.28
airspeed,0.166,0.56,0.088
airstream,0.5,0.667,0.167
airstrike,-0.704,1.0,0.6
airstrip,0.1,0.38,0.298
airtight,-0.042,-0.238,0.14
airtime,0.6,0.667,0.375
airwave,0.0,0.429,0.0
airway,0.276,0.17,-0.036
airwoman,0.667,0.667,0.37
airworthiness,0.583,-0.667,0.519
airworthy,0.963,0.048,0.75
airy,0.611,0.238,-0.259
aisle,-0.124,-0.556,-0.434
ait,-0.23,-0.22,-0.196
ajar,-0.08,-0.174,-0.108
aka,-0.082,-0.284,-0.298
akimbo,0.0,0.593,0.25
akin,0.278,-0.314,0.046
alabaster,0.084,-0.192,-0.11
alacrity,0.708,1.0,0.556
alamo,-0.542,0.0,0.833
alarm,-0.518,0.764,0.396
alarm clock,0.01,0.281,0.125
alarmclock,-0.19,1.0,0.333
alarmed,-0.624,0.644,-0.016
alarming,-0.592,0.78,0.17
alarmism,-0.667,0.963,0.238
alarmist,-0.667,0.952,0.037
alas,0.142,-0.38,-0.442
alb,0.042,-0.24,-0.146
albacore,0.037,0.0,0.037
albanian,0.0,0.0,0.37
albatross,0.0,-0.11,0.054
albeit,0.0,0.0,0.0
albinism,0.0,-0.333,-0.048
albino,0.0,-0.52,-0.284
album,0.27,-0.302,-0.094
alchemic,0.667,0.417,0.625
alchemically,0.048,0.5,0.417
alchemist,0.389,0.667,0.667
alchemistic,0.0,0.619,0.571
alchemize,0.125,0.667,0.63
alchemy,0.082,0.166,0.386
alcohol,-0.354,0.334,-0.246
alcohol poisoning,-0.758,0.41,-0.432
alcoholic,-0.694,0.376,-0.278
alcoholic beverage,-0.072,0.23,-0.034
alcoholism,-0.878,0.558,-0.186
alcove,-0.02,-0.32,-0.288
alderman,0.1,-0.082,0.382
ale,0.06,-0.1,-0.284
alehouse,0.048,0.667,0.0
alert,-0.042,0.64,0.296
alertly,0.917,0.933,0.889
alertness,-0.25,0.75,0.5
alerts,-0.326,0.608,0.346
alfalfa,0.092,-0.5,-0.378
alfresco,0.667,0.333,0.0
algae,0.0,-0.667,-0.375
algebra,-0.12,-0.32,0.13
algebraic,0.062,-0.176,-0.118
algebraically,0.0,-0.519,0.583
algorithm,-0.104,-0.212,0.118
algorithmic,0.2,0.667,0.708
alias,0.082,-0.294,-0.334
alibi,-0.208,0.056,0.112
alien,-0.18,0.23,-0.018
alienability,0.0,0.0,0.25
alienable,0.0,0.0,-0.074
alienate,-0.506,0.0,0.046
alienated,-0.18,-0.154,0.118
alienation,-0.244,0.06,-0.255
alienator,-0.778,0.63,0.593
alienist,-0.667,0.667,0.458
alight,0.334,0.314,0.21
align,0.312,-0.272,0.254
aligned,0.166,-0.45,0.106
aligner,0.583,0.667,0.476
alignment,0.286,-0.176,0.366
alike,0.306,-0.654,-0.112
alikeness,0.292,-0.533,0.0
alimentation,0.578,-0.116,0.081
alimony,0.224,-0.046,-0.072
aliquot,-0.12,-0.38,-0.192
alive,0.511,0.274,0.462
alive with,0.304,0.09,0.354
alkali,-0.02,-0.3,-0.184
alkaline,0.286,-0.375,0.292
alkalinity,0.0,-0.889,0.095
alkalinize,0.611,0.611,0.667
alkalization,0.667,-0.333,0.519
alkalize,0.667,-0.25,0.5
alkaloid,0.0,0.407,0.143
alkaloids,-0.134,0.124,-0.196
all,0.0,0.0,0.407
all aboard,0.162,0.03,0.138
all about,0.27,-0.166,-0.038
all along,-0.018,-0.044,0.0
all around,0.266,0.018,0.1
all better,0.612,-0.342,0.366
all blacks,0.034,0.266,-0.136
all but,-0.286,-0.064,-0.334
all caps,0.162,-0.064,0.074
all clear,0.5,-0.254,-0.1
all correct,0.6,-0.138,0.42
all downhill,-0.434,0.182,-0.344
all ears,-0.034,-0.17,-0.142
all eyes,0.258,0.062,0.108
all for,0.0,-0.016,0.162
all fours,-0.25,-0.124,-0.16
all gone,-0.156,0.036,-0.162
all important,0.552,0.15,0.49
all in,0.072,-0.036,0.074
all inclusive,0.516,0.03,0.176
all nations,0.37,0.014,0.166
all out,-0.188,0.154,-0.318
all over,-0.032,-0.08,0.214
all right,0.34,-0.196,0.112
all round,0.434,-0.108,0.214
all set,0.354,-0.054,0.166
all show,-0.194,-0.08,0.068
all that,0.134,-0.05,-0.134
all together,0.5,0.044,0.234
all told,0.0,-0.142,-0.166
all too,-0.206,-0.124,-0.138
all wet,-0.4,-0.016,-0.1
all y'all,0.13,-0.032,-0.194
all-star game,0.766,0.288,0.344
allay,-0.166,-0.188,-0.204
allegation,0.156,0.156,0.216
allege,-0.164,-0.036,0.174
allegeable,0.0,-0.667,0.125
alleged,-0.27,0.044,0.04
allegedly,-0.333,-0.037,-0.333
allegiance,0.834,-0.204,0.5
allegiant,1.0,-0.542,0.708
allegoric,0.0,-0.417,0.25
allegorical,0.034,0.116,0.196
allegorically,0.0,-0.583,0.222
allegorist,0.593,-0.185,0.458
allegoristic,0.037,-0.167,0.143
allegorize,0.0,-0.481,0.417
allegory,0.23,0.16,0.018
allegro,0.27,0.254,-0.094
allergen,-0.722,0.556,-0.458
allergenic,-0.667,0.0,-0.458
allergic,-0.73,0.098,-0.454
allergic reaction,-0.562,0.41,-0.518
allergies,-0.667,0.0,-0.63
allergist,0.0,0.667,0.917
allergy,-0.408,0.212,-0.222
alleviate,0.738,-0.46,0.056
alleviation,0.47,-0.6,-0.018
alleviative,0.741,-0.619,0.048
alleviator,0.708,-0.619,0.571
alley,-0.306,0.0,-0.29
alley oop,0.162,-0.086,-0.13
alleyway,-0.286,-0.058,-0.236
alliance,0.392,-0.054,0.538
allied,0.428,-0.51,0.284
allies,0.667,0.481,0.667
alligator,-0.292,0.408,0.29
alliterate,0.381,0.333,0.333
alliteration,0.407,0.286,0.25
alliterative,0.667,0.095,0.167
alliteratively,0.333,0.6,0.208
alliterativeness,0.333,0.074,0.125
allo,0.0,0.0,0.0
allocate,0.346,-0.076,0.344
allocation,0.208,-0.224,0.358
allocative,0.0,-0.667,0.375
allocator,0.571,0.667,0.667
allot,0.244,-0.038,0.232
allotment,0.2,-0.22,0.28
allow,0.396,-0.142,0.076
allow for,0.534,-0.09,0.178
allow in,0.388,-0.182,0.034
allowable,0.396,0.0,0.122
allowably,0.208,-0.593,0.167
allowance,0.346,-0.236,0.182
allowed,0.46,-0.28,0.31
alloy,0.166,-0.114,0.186
allsmiles,0.572,0.056,-0.14
allspice,0.286,-0.667,0.0
allstar,0.15,0.034,0.108
alltime,0.2,-0.124,0.226
allude,0.0,0.381,0.481
allure,0.608,0.17,0.372
allurement,0.667,0.667,0.292
alluring,0.674,0.49,0.686
alluringness,0.667,0.667,0.238
allusion,-0.12,-0.384,-0.076
allusive,0.333,0.333,0.5
allusively,0.083,0.542,0.333
allusiveness,0.593,-0.667,0.417
alluvial,-0.354,-0.02,-0.018
ally,0.584,-0.36,0.376
alma mater,-0.066,0.044,0.074
almanac,0.376,-0.609,-0.176
almightily,1.0,0.333,1.0
almightiness,1.0,0.048,1.0
almighty,0.876,0.748,0.958
almond,0.396,-0.634,-0.372
almond milk,0.388,-0.334,-0.162
almonds,0.63,-0.625,0.0
almost,-0.072,-0.258,0.032
alms,0.75,-0.292,-0.619
almsgiver,0.667,-0.292,0.407
aloe vera,0.392,-0.318,0.206
aloft,0.542,-0.254,0.4
aloha,0.396,-0.12,-0.118
alone,-0.334,-0.666,-0.568
aloneness,-0.333,-1.0,-0.476
along,0.206,-0.222,-0.066
along with,0.034,-0.156,0.1
alongside,-0.084,-0.334,-0.306
aloof,-0.622,-0.154,-0.396
aloofness,-0.667,-1.0,-0.259
alopecia,-0.667,-0.625,-0.333
aloud,-0.084,0.426,0.5
alpaca,0.417,-0.63,-0.476
alpha,0.416,-0.32,0.51
alpha male,-0.25,0.192,0.104
alphabet,0.124,-0.592,0.344
alphabetic,0.0,0.0,0.074
alphabetical,0.074,-0.408,0.07
alphabetical order,0.162,-0.118,0.334
alphabetically,0.0,-0.667,0.048
alphabetization,0.519,-0.593,0.25
alphabetize,0.238,0.5,0.37
alphabetizer,0.167,0.667,0.296
alphanumeric,0.0,0.0,0.25
alphanumerical,0.0,-0.444,0.519
alpine,0.188,-0.326,-0.052
alps,0.952,-0.333,0.292
already,0.0,-0.306,-0.104
alreadyyyyy,0.184,0.434,-0.298
alright,0.172,-0.236,0.054
alrighty,0.375,0.667,-0.208
also,0.0,0.0,0.0
alt,0.0,0.0,0.0
altar,0.595,-0.425,0.198
altar boy,-0.132,-0.588,-0.3
altarpiece,0.667,-1.0,0.167
alter,-0.334,0.388,0.308
alter ego,0.034,0.076,-0.104
alterability,0.0,0.0,0.185
alterable,0.667,0.333,0.292
alterably,0.0,0.0,-0.222
alteration,-0.666,0.596,0.218
altercate,-0.667,0.667,0.722
altercation,-0.66,0.612,0.0
altered,-0.49,0.53,0.0
alternate,0.25,-0.274,0.178
alternate universe,0.2,0.158,0.234
alternately,0.0,0.667,0.0
alternating,-0.04,-0.012,0.084
alternation,0.0,0.667,0.0
alternative,0.256,-0.254,0.262
alternatively,0.0,0.0,0.125
alternativeness,0.333,0.074,0.524
alternator,0.095,0.667,0.185
although,-0.066,-0.038,-0.108
altimeter,0.23,0.02,0.16
altitude,0.416,-0.036,0.472
altitudinal,0.0,0.0,0.042
alto,0.312,-0.192,0.46
altogether,0.666,-0.352,0.288
altruism,1.0,0.143,0.208
altruist,1.0,0.259,0.238
altruistic,1.0,-0.238,0.333
altruistically,1.0,-0.296,-0.238
alum,0.0,0.0,0.037
aluminum,-0.102,-0.44,-0.132
aluminum foil,-0.3,-0.136,0.034
alumna,0.556,-0.593,0.222
alumnae,0.667,-0.556,0.125
alumni,0.1,-0.066,0.112
alumnus,0.266,-0.264,-0.156
alveolar,-0.062,-0.038,-0.266
always,0.111,0.0,0.0
alzheimer,-1.0,-0.625,-0.905
alzheimers,-0.612,0.036,-0.362
am,0.0,0.0,0.0
amalgam,-0.124,-0.334,0.02
amalgamate,0.571,0.667,0.625
amalgamated,0.667,0.667,0.476
amalgamation,-0.188,-0.06,0.062
amalgamative,0.667,0.524,0.481
amalgamator,0.042,0.667,0.619
amaretto,0.086,0.102,-0.25
amass,0.104,-0.07,-0.07
amateur,-0.062,0.0,-0.182
amateur hour,-0.228,0.03,-0.142
amateurish,-0.667,-0.333,-0.708
amateurishly,-0.611,0.542,-0.667
amateurishness,-0.667,-0.389,-0.667
amateurism,-0.167,-0.333,-0.667
amaze,0.792,0.686,0.566
amazed,0.592,0.558,0.066
amazedly,0.815,0.611,-0.167
amazedness,0.654,0.744,0.02
amazement,0.5,0.6,0.278
amazing,0.812,0.674,0.698
amazingly,0.836,0.53,0.84
amazon,0.667,0.4,1.0
ambassador,0.302,0.058,0.834
ambassadorial,0.556,-0.542,0.917
ambassadorship,0.704,-0.667,0.667
amber,0.27,-0.384,-0.262
amber alert,-0.634,0.312,0.086
ambiance,0.667,-0.905,0.037
ambidexterity,1.0,0.667,0.905
ambidexterous,0.708,0.0,0.476
ambidextrous,0.667,0.0,0.458
ambidextrously,0.667,0.667,0.429
ambidextrousness,0.708,0.19,0.708
ambience,0.47,-0.288,-0.148
ambient,0.25,-0.28,0.164
ambient music,0.25,0.032,-0.034
ambiguity,-0.672,-0.08,-0.26
ambiguous,-0.47,-0.076,-0.284
ambiguously,-0.333,-0.571,-0.333
ambiguousness,-0.333,-0.667,-0.524
ambit,-0.042,-0.24,-0.228
ambition,0.02,0.608,0.322
ambitionless,-0.667,-1.0,-0.444
ambitious,-0.032,0.642,0.434
ambitiously,0.708,0.667,0.75
ambitiousness,0.667,0.667,0.917
ambivalence,-0.417,-0.667,-0.444
ambivalent,0.02,-0.192,-0.036
amble,0.333,-0.333,-0.208
ambler,0.042,0.667,-0.074
ambrosia,0.142,-0.096,-0.04
ambrosial,1.0,-0.238,0.143
ambulance,0.0,0.5,0.218
ambulant,0.571,0.667,0.259
ambulate,0.037,0.667,0.208
ambulation,0.556,1.0,0.259
ambulatory,0.63,0.583,0.083
ambush,-0.438,0.66,0.0
ambusher,-0.667,1.0,0.958
ameliorate,0.54,0.096,0.494
amen,0.562,-0.636,0.084
amenability,0.833,-0.333,0.417
amenable,-0.104,-0.18,-0.188
amenably,0.6,-0.571,-0.375
amend,0.376,-0.188,0.316
amendable,0.667,-0.481,0.185
amendment,0.062,-0.082,0.212
amends,0.28,-0.268,0.034
amenity,0.5,-0.346,0.148
american cheese,0.2,-0.18,0.4
american dream,0.742,0.054,0.166
american eagle,0.068,0.25,0.214
american english,0.188,-0.05,0.322
american express,0.366,0.032,0.37
american flag,0.38,-0.058,0.438
american football,0.29,0.246,0.466
american indian,0.096,0.106,0.154
american league,0.022,0.27,0.566
american revolution,0.286,0.436,0.464
american thanksgiving,0.6,0.138,0.448
american way,0.414,0.21,0.322
americanize,0.0,0.667,0.444
amethyst,0.244,-0.188,0.034
amiability,1.0,-0.667,0.0
amiable,0.694,-0.42,-0.034
amiableness,1.0,-0.524,-0.208
amiably,0.889,-0.958,0.542
amicability,0.722,-0.571,-0.286
amicable,0.75,-0.34,0.014
amicableness,1.0,-0.63,-0.25
amicably,0.889,-0.519,0.375
amid,0.01,-0.32,-0.488
amidst,-0.02,-0.408,-0.16
amigo,0.952,0.048,0.381
amigos,0.708,-0.37,0.0
amino,0.102,-0.196,-0.134
amiss,-0.667,0.556,-0.444
ammo,-0.354,0.53,0.242
ammonia,-0.416,0.174,-0.182
ammonite,0.0,-0.963,0.0
ammonium,-0.292,-0.208,-0.264
ammunition,-0.324,0.27,0.334
amnesia,-0.408,-0.34,-0.384
amnesiac,-0.667,-0.619,-0.917
amnesic,-0.667,-0.542,-0.63
amnesty,0.102,-0.098,0.628
amniotic,0.0,-0.889,-0.185
amoeba,-0.048,0.0,-0.667
amoebae,-0.333,-0.8,-0.458
amoebic,-0.708,0.0,-0.286
amok,-0.667,1.0,-0.296
among,0.064,-0.296,-0.034
amongst,-0.034,-0.062,-0.172
amoral,-0.667,0.0,-0.074
amorality,-0.667,-0.444,-0.292
amorous,0.688,0.34,0.272
amorously,0.944,0.857,0.417
amorousness,0.905,0.667,0.407
amorphous,-0.346,-0.196,-0.302
amorphously,-0.286,-0.667,-0.741
amorphousness,-0.381,-0.875,-0.583
amortization,0.184,-0.018,0.044
amount,0.124,-0.156,0.298
amount to,-0.2,-0.136,0.214
amour,0.73,-0.04,0.304
amoxicillin,0.5,0.0,0.0
amp,-0.122,-0.214,-0.25
amped up,0.034,0.142,0.138
amperage,0.0,0.571,0.542
ampersand,-0.04,-0.104,-0.034
amphetamine,-0.667,1.0,0.75
amphetamines,-0.734,0.334,0.052
amphibian,-0.146,-0.286,-0.052
amphibious,-0.042,-0.308,-0.11
amphibiously,0.0,0.111,0.037
amphibiousness,0.0,0.0,0.0
amphitheater,0.306,-0.04,0.09
ample,0.488,-0.302,0.438
ampleness,0.667,0.0,0.286
amplification,0.38,0.354,0.646
amplifier,0.048,0.667,0.583
amplify,0.354,0.47,0.654
amplitude,0.388,-0.122,0.384
amply,0.562,-0.138,0.532
amputate,-0.816,0.32,0.018
amputation,-0.8,0.51,-0.034
amputee,-0.571,-0.389,-0.63
amuck,-0.23,0.204,-0.358
amulet,0.562,-0.48,0.26
amusable,0.63,0.296,-0.286
amuse,0.624,0.368,0.328
amused,0.884,0.694,0.192
amusedly,0.762,0.625,0.0
amusement,0.858,0.674,0.606
amusement park,0.656,0.158,0.388
amuser,0.524,0.667,0.375
amusing,0.92,0.658,0.264
ana,0.082,-0.4,-0.372
anabolic,0.619,0.708,0.857
anabolism,0.667,0.625,0.444
anachronism,-0.333,-0.083,-0.619
anachronistic,-0.556,-0.593,-0.292
anachronistically,0.0,0.0,0.0
anachronous,-0.667,-0.056,-0.481
anaconda,-0.708,0.66,0.08
anaerobia,-0.375,-0.958,0.0
anaerobic,-0.333,-0.333,0.296
anaesthesia,-0.3,-0.566,-0.054
anaesthetic,-0.102,-0.464,0.018
anaesthetize,-0.381,-0.952,0.815
anagram,0.104,-0.346,-0.102
anagrammatic,0.0,0.6,0.222
anagrammatically,0.0,0.667,0.125
anal,-0.334,0.596,-0.332
anal sex,-0.534,0.318,-0.276
analgesia,0.667,-1.0,-0.458
analgesic,-0.166,-0.358,-0.118
analog,0.0,0.0,0.037
analogical,0.556,-0.667,0.375
analogically,0.0,-0.333,0.0
analogism,0.0,0.0,0.407
analogist,0.083,0.667,0.519
analogize,0.444,0.667,0.481
analogous,0.062,-0.46,0.0
analogously,0.0,0.0,0.593
analogue,0.14,-0.36,-0.108
analogy,0.02,-0.266,0.018
analyses,0.667,-0.667,0.667
analysis,0.458,-0.104,0.41
analyst,0.208,-0.17,0.51
analytic,0.33,0.042,0.268
analytical,0.25,-0.352,0.6
analytically,0.625,0.417,0.625
analyzability,0.524,-0.481,0.407
analyzable,0.667,0.125,0.667
analyze,0.334,-0.076,0.42
analyzed,0.048,0.143,0.625
analyzer,0.25,0.112,0.708
anamorphic,0.0,0.0,0.0
anamorphous,-0.074,0.0,-0.333
anaphylactic,-0.244,0.176,0.0
anaphylaxis,-1.0,0.857,-0.625
anarchic,-0.667,0.667,0.704
anarchical,-0.704,0.667,0.5
anarchically,-0.714,0.667,-0.25
anarchism,-0.75,0.608,0.246
anarchist,-0.592,0.4,0.518
anarchistic,-0.667,0.667,0.778
anarchize,-0.667,1.0,0.556
anarchy,-0.708,0.51,0.24
anastomosis,-0.25,-0.06,-0.02
anathema,-0.428,-0.02,0.038
anatomic,0.124,-0.116,0.092
